id8102,year,outcome,outcmyear,switcher,instresp,xl_area,age1_fav,age2_fav,age3_fav,age4_fav,age5_fav,age6_fav,age7_fav,age8_fav,age9_fav,age10_fav,age11_fav,age12_fav,age1_opp,age2_opp,age3_opp,age4_opp,age5_opp,age6_opp,age7_opp,age8_opp,age9_opp,age10_opp,age11_opp,age12_opp,age1_dk,age2_dk,age3_dk,age4_dk,age5_dk,age6_dk,age7_dk,age8_dk,age9_dk,age10_dk,age11_dk,age12_dk,edu1_fav,edu2_fav,edu3_fav,edu4_fav,edu5_fav,edu6_fav,edu7_fav,edu8_fav,edu9_fav,edu10_fav,edu11_fav,edu12_fav,edu1_opp,edu2_opp,edu3_opp,edu4_opp,edu5_opp,edu6_opp,edu7_opp,edu8_opp,edu9_opp,edu10_opp,edu11_opp,edu12_opp,edu1_dk,edu2_dk,edu3_dk,edu4_dk,edu5_dk,edu6_dk,edu7_dk,edu8_dk,edu9_dk,edu10_dk,edu11_dk,edu12_dk,inc1_fav,inc2_fav,inc3_fav,inc4_fav,inc5_fav,inc6_fav,inc7_fav,inc8_fav,inc9_fav,inc10_fav,inc11_fav,inc12_fav,inc1_opp,inc2_opp,inc3_opp,inc4_opp,inc5_opp,inc6_opp,inc7_opp,inc8_opp,inc9_opp,inc10_opp,inc11_opp,inc12_opp,inc1_dk,inc2_dk,inc3_dk,inc4_dk,inc5_dk,inc6_dk,inc7_dk,inc8_dk,inc9_dk,inc10_dk,inc11_dk,inc12_dk,white_fav,black_fav,hispa_fav,asina_fav,white_opp,black_opp,hispa_opp,asina_opp,white_dk,black_dk,hispa_dk,asian_dk,pid1_fav,pid2_fav,pid3_fav,pid4_fav,pid5_fav,pid6_fav,pid7_fav,pid1_opp,pid2_opp,pid3_opp,pid4_opp,pid5_opp,pid6_opp,pid7_opp,pid1_dk,pid2_dk,pid3_dk,pid4_dk,pid5_dk,pid6_dk,pid7_dk,ideo1_fav,ideo2_fav,ideo3_fav,ideo4_fav,ideo5_fav,ideo6_fav,ideo7_fav,ideo1_opp,ideo2_opp,ideo3_opp,ideo4_opp,ideo5_opp,ideo6_opp,ideo7_opp,ideo1_dk,ideo2_dk,ideo3_dk,ideo4_dk,ideo5_dk,ideo6_dk,ideo7_dk,male_fav,female_fav,male_opp,female_opp,male_dk,female_dk,protes_fav,cathlc_fav,jewish_fav,seculr_fav,protes_opp,cathlc_opp,jewish_opp,seculr_opp,protes_dk,cathlc_dk,jewish_dk,seculr_dk,east_fav,south_fav,midwst_fav,west_fav,east_opp,south_opp,midwst_opp,west_opp,east_dk,south_dk,midwst_dk,west_dk,nounn_fav,union_fav,nounn_opp,union_opp,nounn_dk,union_dk,pred10_sw,pred30_sw,pred50_sw,pred70_sw,pred90_sw,predall_sw,intgrp_stfav,intgrp_swfav,intgrp_stopp,intgrp_swopp,aarp,aflcio,airlines,american_bankers_association,american_councilof_life_insurance,american_farm_bureau_federation,american_federationof_state_countyand_municipal_employees,american_hospital_association,american_israel_public_affairs_committee,american_legion,american_medical_association,associationof_trial_lawyers,automobilecompanies,chamberof_commerce,christian_coalition,computersoftwareandhardware,credit_union_national_association,defensecontractors,electriccompanies,health_insurance_association,independent_insurance_agentsof_america,international_brotherhoodof_teamsters,motion_picture_associationof_america,national_associationof_broadcasters,national_associationof_home_builders,national_associationof_manufacturers,national_associationof_realtors,national_beer_wholesalers_association,national_education_association,national_federationof_independent_business,national_governors_association,national_restaurant_association,national_rifle_association,national_rightto_life_committee,oil_companies,pharmaceutical_research_manufacturers,recording_industry_association,securitiesandinvestmentcompanies,telephonecompanies,tobbacocompanies,united_auto_workersunion,universities,veteransof_foreign_warsofthe_u_s,ecyn,swyn,fpyn,rlyn,gnyn,question_text,policy_change,intgrp_align,intgrp_align_norm,pred10_norm,pred50_norm,pred90_norm,mass_intgrp_stfav,mass_intgrp_swfav,mass_intgrp_stopp,mass_intgrp_swopp,bus_intgrp_stfav,bus_intgrp_swfav,bus_intgrp_stopp,bus_intgrp_swopp,mass_intgrp_align,bus_intgrp_align,mass_intgrp_align_norm,bus_intgrp_align_norm
1,1981,0,NA,0,1,budget,84,91,116,106,87,155,206,150,3,0,0,0,17,22,31,26,12,29,33,23,0,0,0,0,1,4,3,2,2,6,19,25,0,0,0,0,7,18,37,112,356,169,56,137,104,0,0,0,0,7,10,42,67,25,9,14,18,0,0,0,0,6,6,13,17,9,2,3,6,0,0,0,134,175,232,204,124,86,42,0,0,0,0,0,45,53,46,17,13,10,10,0,0,0,0,0,20,12,9,8,1,0,12,0,0,0,0,0,895,51,27,11,112,61,10,4,47,11,3,1,311,352,334,0,0,0,0,26,54,114,0,0,0,0,18,15,30,0,0,0,0,424,397,141,0,0,0,0,47,73,58,0,0,0,0,19,28,5,0,0,0,0,511,486,68,125,15,47,607,288,24,54,114,51,8,15,40,14,3,1,258,294,258,187,53,55,46,40,18,15,17,12,773,219,135,56,47,14,0.7333024740219116,0.8148669600486755,0.8607293963432312,0.8833836913108826,0.891196072101593,0.8366957187652588,0,0,3,0,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His call to cut 41.4 billion dollars from the 1982 federal budget",0,-1.3862943611198906,0.28189570801446845,0.6116401713600417,0.6369816799216338,0.6647540535226704,0,0,1,0,0,0,0,0,-0.6931471805599453,0,0.3065735963827292,0.5
2,1981,0,NA,0,1,taxation,71,91,103,95,74,141,174,123,3,0,0,0,28,24,43,37,27,43,61,50,0,0,0,0,1,3,4,3,1,5,23,25,0,0,0,0,5,18,25,107,320,151,48,120,81,0,0,0,0,7,21,45,102,45,15,32,45,0,0,0,2,6,7,15,18,7,4,3,2,0,0,0,110,175,201,157,111,76,47,0,0,0,0,0,63,56,72,67,23,21,10,0,0,0,0,0,26,10,13,4,4,0,7,0,0,0,0,0,761,72,21,12,240,41,18,4,53,10,1,0,270,299,307,0,0,0,0,78,90,145,0,0,0,0,7,33,25,0,0,0,0,382,340,127,0,0,0,0,86,142,64,0,0,0,0,22,18,13,0,0,0,0,437,439,141,171,16,49,541,248,22,41,181,89,11,26,40,17,2,3,218,270,227,161,93,77,75,68,18,17,20,9,675,197,230,78,50,14,0.6822428107261658,0.7107653617858887,0.7395572066307068,0.7639454007148743,0.7894070744514465,0.7371835708618164,3,3,1,0,NA,-2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,0,0,0,0,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or oppose (READ EACH ITEM)? Item: Reducing the maximum capital gains tax that indiviuals pay when they sell stocks or bonds, precious metals, real estate, coins, antiques, art, or other such investments from 28% to 17% to stimulate more investment",0,1.0116009116784799,0.659154149942093,0.5720042862498812,0.5398030620366896,0.5632385244675014,0,0,1,0,3,3,0,0,-0.6931471805599453,1.7047480922384253,0.3065735963827292,0.7682062959348587
3,1981,2,NA,0,1,welf reform,62,82,94,103,71,140,188,142,2,0,0,0,39,35,54,31,30,46,63,53,1,0,0,0,0,0,1,1,0,3,6,3,0,0,0,0,6,16,35,102,312,155,46,121,92,0,0,0,1,14,16,61,124,47,21,34,34,0,0,0,0,2,3,3,4,1,0,0,3,0,0,0,125,155,208,174,110,77,37,0,0,0,0,0,69,83,78,53,26,20,24,0,0,0,0,0,4,2,1,1,3,0,4,0,0,0,0,0,796,54,17,7,246,66,23,9,12,2,0,0,278,309,298,0,0,0,0,74,107,171,0,0,0,0,3,5,6,0,0,0,0,376,366,114,0,0,0,0,107,132,87,0,0,0,0,7,1,2,0,0,0,0,444,441,143,209,5,9,549,252,21,41,202,98,15,29,9,3,0,0,229,264,233,159,93,94,86,79,6,5,2,1,684,198,260,88,12,2,0.62517249584198,0.6981182098388672,0.7407212257385254,0.7574305534362793,0.7516785860061646,0.7146242141723633,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His call to cut the school lunch program by 1.6 billion dollars by eliminating free school lunches for children of families who can afford to pay",1,-1.0986122886681098,0.32715643797829735,0.5315365059227518,0.5405593184602705,0.535475884858654,0,0,0,0,0,0,0,0,0,0,0.5,0.5
4,1981,2,NA,0,1,taxation,82,101,109,104,73,144,184,140,3,0,0,0,18,15,34,28,23,41,54,40,0,0,0,0,1,1,7,3,4,5,20,18,0,0,0,0,6,19,38,111,340,152,50,131,94,0,0,0,1,11,11,45,80,38,14,23,31,0,0,0,0,1,4,11,21,12,4,1,4,0,0,0,135,178,218,171,110,83,48,0,0,0,0,0,42,52,58,49,24,13,14,0,0,0,0,0,23,10,11,8,4,1,3,0,0,0,0,0,821,73,21,14,182,47,15,2,51,3,4,0,291,321,329,0,0,0,0,51,73,129,0,0,0,0,12,28,19,0,0,0,0,389,390,134,0,0,0,0,81,88,65,0,0,0,0,20,20,5,0,0,0,0,463,479,116,136,16,44,577,273,23,40,152,62,11,25,32,19,2,4,250,276,240,175,65,73,67,48,14,15,15,15,706,229,202,48,48,11,0.7645454406738281,0.7744579315185547,0.7853991985321045,0.8000297546386719,0.8166108727455139,0.7882086396217346,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,0,0,0,0,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or oppose (READ EACH ITEM)? Item: Reducing the maximum tax rate that individuals pay on income other than their salaries from 70% to 50%",1,1.0986122886681098,0.6728435620217026,0.6382922395554913,0.5715103144451064,0.5856020297464712,0,0,0,0,2,0,0,0,0,1.0986122886681098,0.5,0.6728435620217026
5,1981,4,1984,0,1,misc others,59,69,77,86,67,116,163,128,0,0,0,0,42,47,67,48,31,69,80,46,2,0,0,0,0,1,5,1,3,4,15,24,1,0,0,0,5,19,32,83,282,128,43,101,74,0,0,0,1,10,20,64,143,71,21,52,51,0,0,0,2,3,1,20,16,4,3,2,2,0,0,0,110,142,180,137,96,63,38,0,0,0,0,0,74,86,103,78,39,34,18,0,0,0,0,0,15,12,4,12,2,0,9,0,0,0,0,0,672,50,27,8,333,68,13,8,48,5,0,0,255,267,243,0,0,0,0,91,135,206,0,0,0,0,9,18,27,0,0,0,0,328,312,98,0,0,0,0,138,172,103,0,0,0,0,24,14,3,0,0,0,0,374,391,209,223,11,44,465,222,22,41,257,123,12,26,40,7,1,3,197,221,194,153,121,114,118,79,10,29,10,6,605,154,304,127,45,8,0.6029290556907654,0.6219537854194641,0.6399363875389099,0.6573429703712463,0.6745892763137817,0.6393502950668335,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His call to cut the synthetic fuels energy program by 3.2 billion dollars, leaving it to business to finance the development of oil from coal, tar sands, and shale",1,0.6931471805599453,0.6090521459927658,0.516493138914539,0.4812504015522478,0.48631059587859726,0,0,0,0,1,0,0,0,0,0.6931471805599453,0.5,0.6090521459927658
6,1981,2,NA,0,1,defense,58,92,89,95,74,144,192,161,2,0,0,0,43,24,57,39,23,42,55,23,1,0,0,0,0,2,5,1,4,4,11,13,0,0,0,0,6,18,39,111,352,142,54,115,71,0,0,0,1,8,12,48,81,55,12,38,52,0,0,0,0,5,2,8,8,6,1,2,5,0,0,0,136,177,212,159,107,78,39,0,0,0,0,0,54,57,72,60,29,17,17,0,0,0,0,0,10,6,3,9,2,1,8,0,0,0,0,0,802,64,20,12,220,54,19,4,32,5,1,0,289,302,317,0,0,0,0,56,106,144,0,0,0,0,10,13,16,0,0,0,0,408,363,107,0,0,0,0,70,120,95,0,0,0,0,12,16,2,0,0,0,0,468,439,117,190,9,30,584,255,15,34,153,90,18,34,24,9,2,2,222,280,236,169,95,73,79,60,13,11,6,9,704,199,218,85,34,5,0.7280654311180115,0.7386934757232666,0.7483915686607361,0.7573961615562439,0.7635337114334106,0.7472160696983338,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His wanting to increase the defense budget by 7 billion dollars, making defense the only area where an increase in spending is proposed",1,0.6931471805599453,0.6090521459927658,0.6073754544534874,0.5455990800999684,0.5438612571739788,0,0,0,0,1,0,0,0,0,0.6931471805599453,0.5,0.6090521459927658
7,1981,0,NA,0,1,taxation,75,98,104,105,70,133,193,127,2,0,0,0,24,12,36,26,27,51,36,39,1,0,0,0,2,8,9,4,3,6,29,33,0,0,0,0,4,19,36,115,319,151,50,123,90,0,0,0,1,7,11,37,92,38,11,24,29,0,0,0,2,5,6,15,30,13,7,8,9,0,0,0,130,169,217,166,116,76,35,0,0,0,0,0,45,51,53,47,18,17,20,0,0,0,0,0,25,20,17,15,4,3,9,0,0,0,0,0,790,76,24,8,188,37,12,5,76,10,4,3,266,327,315,0,0,0,0,58,74,120,0,0,0,0,31,21,41,0,0,0,0,376,358,140,0,0,0,0,71,111,56,0,0,0,0,42,31,8,0,0,0,0,476,432,100,152,18,75,562,260,24,43,138,71,9,24,62,23,3,3,248,270,233,157,57,64,67,64,24,30,22,17,698,206,179,69,79,13,0.7404625415802002,0.7870974540710449,0.807033121585846,0.8045340180397034,0.7789890766143799,0.7836232423782349,3,17,0,0,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,1,2,NA,1,NA,1,1,NA,1,NA,NA,NA,1,2,NA,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,0,0,0,0,"In addition to the tax cuts the President called for in his speech before Congress, President Reagan and his economic advisors are working on another tax cut program designed to stimulate investment to make the economy grow. Would you favor or oppose (READ EACH ITEM)? Item: Increasing the investment tax credits that corporations receive for investing in new plant and equipment from 10% to 20% to stimulate investment by business in modern technology and growth",0,2.5257286443082556,0.8973703371839564,0.6175581743146089,0.5881838518921108,0.5552423133669446,0,0,0,0,3,17,0,0,0,2.5257286443082556,0.5,0.8973703371839564
8,1981,2,NA,0,1,foreign pol,54,82,81,85,67,99,155,101,3,0,0,0,47,31,59,43,24,61,75,61,0,0,0,0,0,5,9,7,11,28,27,35,0,0,0,0,6,15,32,87,270,112,38,93,72,0,0,0,1,10,20,62,125,71,23,47,42,0,0,0,0,6,1,17,45,20,5,15,13,0,0,0,106,133,177,128,83,65,33,0,0,0,0,0,67,83,86,76,44,24,21,0,0,0,0,0,26,23,23,24,10,7,10,0,0,0,0,0,636,58,20,5,309,54,18,11,107,11,2,0,242,236,249,0,0,0,0,79,138,183,0,0,0,0,32,47,43,0,0,0,0,318,300,85,0,0,0,0,123,155,105,0,0,0,0,48,43,14,0,0,0,0,363,363,188,213,41,81,458,206,19,30,228,115,12,33,76,30,4,7,185,215,194,133,110,108,103,80,33,41,24,25,572,150,285,114,96,25,0.6144336462020874,0.6347264051437378,0.6495416164398193,0.6596531271934509,0.6628824472427368,0.6442474484443664,0,0,7,0,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,NA,-2,NA,NA,NA,NA,NA,-2,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,0,0,1,0,0,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His cutting by one-third loans by the Export-Import bank which stimulate sales abroad",1,-2.0794415416798357,0.1728435620217027,0.5242334800637906,0.4864907325977104,0.47944690556787944,0,0,3,0,0,0,4,0,-1.3862943611198906,-1.6094379124341003,0.11314719276545841,0.24678875841163886
10,1981,0,NA,0,1,foreign pol,59,75,90,94,78,139,168,113,2,0,0,0,41,43,44,30,14,34,56,57,1,0,0,0,1,0,16,11,8,17,34,27,0,0,0,0,5,14,24,86,275,153,45,128,87,0,0,0,2,11,18,62,123,37,17,19,30,0,0,0,0,6,11,18,43,13,5,7,11,0,0,0,97,143,194,166,110,78,31,0,0,0,0,0,68,80,72,38,25,15,22,0,0,0,0,0,34,18,21,24,3,3,12,0,0,0,0,0,739,43,17,10,223,65,19,4,93,15,3,2,265,285,268,0,0,0,0,73,90,157,0,0,0,0,17,47,51,0,0,0,0,363,326,101,0,0,0,0,91,125,87,0,0,0,0,36,48,16,0,0,0,0,417,402,137,183,41,74,498,227,24,47,189,100,9,16,75,27,2,6,206,241,211,161,94,86,85,54,29,37,26,23,627,185,237,81,92,23,0.5790126323699951,0.6970711350440979,0.7610673904418945,0.7847673296928406,0.7734981775283813,0.7190833330154419,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His abolition of the Economic Development Administration which was set up to stimulate economic growth, but which Reagan claims is just another bureaucracy",0,0,0.5,0.5006347637626146,0.5541571830432206,0.5511364843594767,0,0,0,0,0,0,0,0,0,0,0.5,0.5
11,1981,2,NA,0,1,taxation,69,98,106,111,80,144,189,152,3,0,0,0,32,20,34,23,15,33,50,27,0,0,0,0,0,0,10,2,5,12,18,19,0,0,0,0,6,19,36,117,327,159,58,128,100,0,0,0,1,6,16,35,90,31,9,21,24,0,0,0,0,6,1,15,23,12,0,5,4,0,0,0,133,179,223,176,113,83,46,0,0,0,0,0,48,47,56,41,19,11,12,0,0,0,0,0,18,14,8,11,6,3,6,0,0,0,0,0,822,82,29,11,178,35,10,4,54,7,1,1,301,316,335,0,0,0,0,42,79,113,0,0,0,0,12,26,29,0,0,0,0,410,368,142,0,0,0,0,59,109,53,0,0,0,0,22,22,9,0,0,0,0,478,475,102,132,14,52,584,278,22,48,137,65,10,17,40,11,3,5,256,278,255,163,52,64,56,62,21,22,10,13,733,214,168,64,55,11,0.7470266819000244,0.7827938795089722,0.8087974190711975,0.8289775848388672,0.8413902521133423,0.8017971634864807,3,24,1,0,NA,-2,1,1,1,1,NA,1,NA,NA,1,1,1,2,NA,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,NA,2,NA,1,NA,NA,1,1,1,2,1,1,NA,NA,NA,1,0,0,0,0,"Now let me ask you about a number of specific things Presdent Reagan said he wants to do. For each, tell me if you favor or oppose it. READ EACH ITEM Item: His call to speed up business depreciation write-offs for new plants, machinery, and vehicles to stimulate the growth of business",1,2.0794415416798357,0.8271564379782973,0.623077484221381,0.5896044728710489,0.6083368496667659,0,0,1,0,3,24,0,0,-0.6931471805599453,2.772588722239781,0.3065735963827292,0.9362085839710631
